Species,C,H,N,Ratio
Aporosa falcifera,43.07,5.79,1.46,29.5
Aporosa frutescens,36.03,5.05,1.75,20.58857143
Archidendron clypearia,50.05,5.99,2.62,19.10305344
Bhesa paniculata,44.72,5.37,1.72,26
Calophyllum wallichianum var. incrassatum,48.8,5.52,1.44,33.88888889
Campnosperma squamatum,46.42,5.34,1.34,34.64179104
Elaeocarpus mastersii,48.02,5.35,1.46,32.89041096
Elaeocarpus stipularis,47.39,5.68,2.07,22.89371981
Gironniera nervosa,41.21,5.26,2.38,17.31512605
Gluta wallichii,45.48,5.35,1.35,33.68888889
Gynotroches axillaris,45.28,5.54,1.54,29.4025974
Hevea brasiliensis,48.12,6.43,3.78,12.73015873
Knema malayana,48.01,5.74,1.92,25.00520833
Lindera lucida,47.78,5.69,1.86,25.68817204
Lithocarpus ewyckii,48.05,5.7,1.51,31.82119205
Litsea firma,49.71,5.7,1.68,29.58928571
Lophopetalum multinervium,44.66,5.15,1.83,24.40437158
Madhuca tomentosa,42.36,5.45,1.48,28.62162162
Mallotus paniculatus,46.78,5.97,2.85,16.41403509
Pometia pinnata,47.96,5.68,1.52,31.55263158
Prunus polystachya,49.88,6.29,1.87,26.67379679
Pternandra echinata,41.82,5.27,1.44,29.04166667
Rhodamnia cinerea,49.19,5.37,1.27,38.73228346
Timonius wallichianus,47.61,6.16,1.84,25.875
Xanthophyllum flavescens,52.2,5.41,2.87,18.18815331
Aporosa falcifera,43.18,5.3,1.5,28.78666667
Aporosa frutescens,36.13,4.95,1.74,20.76436782
Archidendron clypearia,50.31,5.85,2.62,19.20229008
Bhesa paniculata,61.27,7.33,2.36,25.96186441
Calophyllum wallichianum var. incrassatum,48.4,5.82,1.19,40.67226891
Campnosperma squamatum,46.43,5.41,1.34,34.64925373
Elaeocarpus mastersii,48.08,5.5,1.44,33.38888889
Elaeocarpus stipularis,47.19,5.61,1.98,23.83333333
Gironniera nervosa,41.63,5.28,2.27,18.33920705
Gluta wallichii,45.55,5.51,1.39,32.76978417
Gynotroches axillaris,45.43,5.63,1.57,28.93630573
Hevea brasiliensis,48.15,5.86,3.7,13.01351351
Knema malayana,50.69,6.17,2.08,24.37019231
Lindera lucida,47.71,5.68,1.87,25.51336898
Lithocarpus ewyckii,47.95,5.7,1.45,33.06896552
Litsea firma,50.44,5.85,1.82,27.71428571
Lophopetalum multinervium,45.09,5.47,1.87,24.11229947
Madhuca tomentosa,42.34,5.42,1.52,27.85526316
Mallotus paniculatus,47.34,6.06,2.97,15.93939394
Pometia pinnata,48.09,5.59,1.5,32.06
Prunus polystachya,49.68,6.33,1.84,27
Pternandra echinata,41.71,5.5,1.45,28.76551724
Rhodamnia cinerea,49.32,5.4,1.26,39.14285714
Timonius wallichianus,48.9,6.08,2.04,23.97058824
Xanthophyllum flavescens,44.93,5.82,2.83,15.87632509
Calophyllum tetrapterum var. tetrapterum,49.34,5.88,1.01,48.85148515
Calophyllum tetrapterum var. tetrapterum,48.79,5.76,0.96,50.82291667
