Plot,collection_no.,Connon-swampition,Date,species,Dry.Mass
Q6,1,swamp,07/27/18,Sterculia macrophylla,18.54551797
Q6,1,swamp,07/27/18,Campnosperma squamatum,16.302
Q6,1,swamp,07/27/18,Pometia pinnata,23.79384615
Q6,1,swamp,07/27/18,Diospyros maingayi,16.09680604
Q6,1,swamp,07/27/18,Artocarpus kemando,35.219
Q107,1,non-swamp,07/28/18,Adenanthera malayana,8.8721875
Q107,1,non-swamp,07/28/18,Unidentified species,5.215012107
Q107,1,non-swamp,07/28/18,Grewia laevigata,4.513333333
Q107,1,non-swamp,07/28/18,Nothaphoebe umbelliflora,11.99027304
Q107,1,non-swamp,07/28/18,Gironniera nervosa,10.94976048
Q107,1,non-swamp,07/28/18,Strychnos sp.,5.12027027
Q107,1,non-swamp,07/28/18,Bauhinia semibifida,10.11206897
Q107,1,non-swamp,07/28/18,Knema malayana,3.685
Q405,1,non-swamp,8/7/2018,Bauhinia semibifida,40.55147059
Q405,1,non-swamp,8/7/2018,Elaeocarpus stipularis,5.745082873
Q408,1,non-swamp,8/7/2018,Gironniera nervosa,7.867549669
Q408,1,non-swamp,8/7/2018,Lithocarpus ewyckii,16.61315436
Q408,1,non-swamp,8/7/2018,Unidentified species,6.213709328
Q408,1,non-swamp,8/7/2018,Rhodamnia cinerea,6.256711409
Q213,1,non-swamp,8/7/2018,Unidentified species,19.57605442
Q213,1,non-swamp,8/7/2018,Gironniera nervosa,6.418965517
Q213,1,non-swamp,8/7/2018,Calophyllum tetrapterum var. tetrapterum,3.879253731
Q213,1,non-swamp,8/7/2018,Dysoxylum cauliflorum,5.683284457
Q6,2,swamp,08/13/18,Campnosperma squamatum,17.49107492
Q6,2,swamp,08/13/18,Madhuca sp.,10.895199
Q6,2,swamp,08/13/18,Artocarpus kemando,9.0364
Q6,2,swamp,08/13/18,Pometia pinnata,38.69312977
Q6,2,swamp,08/13/18,Diospyros maingayi,47.91650794
Q107,2,non-swamp,08/13/18,Strychnos sp.,3.91664
Q107,2,non-swamp,08/13/18,Nothaphoebe umbelliflora,12.9943314
Q107,2,non-swamp,08/13/18,Willughbeia coriacea,4.537741047
Q107,2,non-swamp,08/13/18,Unidentified species,4.747428571
Q107,2,non-swamp,08/13/18,Gironniera nervosa,4.836610169
Q107,2,non-swamp,08/13/18,Unidentified species,9.638489209
Q107,2,non-swamp,08/13/18,Adenanthera malayana,12.68020833
Q9,1,swamp,08/13/18,Campnosperma squamatum,36.34009533
Q9,1,swamp,08/13/18,Dalbergia pseudo-sissoo,16.52282486
Q9,1,swamp,08/13/18,Shorea sp.,53.28303644
Q9,1,swamp,08/13/18,Pometia pinnata,10.77478723
Q9,1,swamp,08/13/18,Gluta wallichii,25.12741021
Q3,1,swamp,08/15/18,Unidentified species,5.314285714
Q10,1,swamp,08/16/18,Campnosperma squamatum,24.30429594
Q10,1,swamp,08/16/18,Uncaria cordata,9.160449438
Q10,1,swamp,08/16/18,Dalbergia pseudo-sissoo,6.321443299
Q10,1,swamp,08/16/18,Bauhinia semibifida,55.86329114
Q10,1,swamp,08/16/18,Grewia laevigata,4.458640777
Q1,1,non-swamp,08/16/18,Unidentified species,4.941910828
Q1,1,non-swamp,08/16/18,Canarium pilosum,8.181534091
Q1,1,non-swamp,08/16/18,Xanthophyllum flavescens,9.185934066
Q1,1,non-swamp,08/16/18,Grewia laevigata,7.469189189
Q1,1,non-swamp,08/16/18,Bhesa paniculata,16.76058511
Q1,1,non-swamp,08/16/18,Gironniera nervosa,4.520879121
Q213,2,non-swamp,08/21/18,Rhodamnia cinerea,4.649043478
Q213,2,non-swamp,08/21/18,Calophyllum tetrapterum var. tetrapterum,6.331764706
Q213,2,non-swamp,08/21/18,Dysoxylum cauliflorum,17.99469512
Q213,2,non-swamp,08/21/18,Archidendron clypearia,4.431395349
Q213,2,non-swamp,08/21/18,Unidentified species,5.974591837
Q213,2,non-swamp,08/21/18,Prunus polystachya,35.81178797
Q213,2,non-swamp,08/21/18,Smilax setosa,8.981496479
Q213,2,non-swamp,08/21/18,Aporosa frutescens,5.537192982
Q408,2,non-swamp,08/21/18,Fissistigma latifolium var. ovoideum,7.727407407
Q408,2,non-swamp,08/21/18,Rhodamnia cinerea,6.414222222
Q408,2,non-swamp,08/21/18,Lithocarpus ewyckii,45.54734807
Q408,2,non-swamp,08/21/18,Gironniera nervosa,12.05493976
Q405,2,non-swamp,08/21/18,Bauhinia semibifida,54.35230769
Q405,2,non-swamp,08/21/18,Elaeocarpus stipularis,10.53587678
